AcresBurned,AdminUnit,ArchiveYear,Counties,Extinguished,Fatalities,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,WaterTenders,fire_duration,AdminUnitCleaned
612.0,Kern County Fire,2013,Kern,2013-07-25 18:30:00+00:00,,34.90327,-118.93388,False,Water Fire,,2013-07-23 09:15:00+00:00,,2.3854166666666665,kern
572.0,Eldorado National Forest,2013,El Dorado,2013-07-11 18:30:00+00:00,,38.774,-120.298,False,Kyburz Fire,,2013-07-08 12:45:00+00:00,,3.2395833333333335,eldorado
534.0,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,2013,San Bernardino,2013-07-01 06:00:00+00:00,,34.071556,-117.048397,True,Mills Fire,282.0,2013-06-28 14:30:00+00:00,29.0,2.6458333333333335,sanbernardinoredlssanbernardinosheriff
513.0,Plumas National Forest,2013,Plumas,2013-08-25 13:15:00+00:00,,40.00842,-120.764666,False,Plumas Lightning Complex (Hough),,2013-08-18 18:30:00+00:00,,6.78125,plumas
510.0,CAL FIRE/Riverside County Fire,2013,Riverside,2013-05-05 18:45:00+00:00,,33.894055,-116.855019,False,Gorgonio Fire,,2013-05-04 11:43:00+00:00,,1.2930555555555556,riverside
502.0,CAL FIRE Lassen-Modoc Unit,2013,Modoc,2013-07-05 18:30:00+00:00,,41.2415,-121.035,False,Fox Fire (formally 3-7 Fire),,2013-07-03 22:56:00+00:00,,1.8152777777777778,lassenmodoc
500.0,Los Padres National Forest,2013,San Luis Obispo,2013-06-03 18:30:00+00:00,,35.15832,-120.05131,False,Branch Fire,,2013-06-01 17:27:00+00:00,,2.04375,lospadres
492.0,CAL FIRE Santa Clara Unit,2013,Contra Costa,2013-07-01 18:40:00+00:00,,37.96866,-121.91453,False,Kirker Fire,,2013-07-01 13:19:00+00:00,,0.22291666666666668,santaclara
482.0,CAL FIRE Madera-Mariposa-Merced Unit,2013,Madera,2013-06-18 19:30:00+00:00,,37.015575,-119.78106,True,Rolling Fire,,2013-06-16 18:17:00+00:00,,2.0506944444444444,maderamariposamerced
413.0,San Bernardino National Forest,2013,San Bernardino,2013-08-20 13:32:00+00:00,,34.302,-117.598,False,Gobblers Fire,,2013-08-20 13:32:00+00:00,,0.0,sanbernardino
406.0,CAL FIRE San Bernardino Unit,2013,Inyo,2013-02-28 20:00:00+00:00,,36.602575,-118.01651,True,River Fire,476.0,2013-02-24 08:16:00+00:00,25.0,4.488888888888889,sanbernardino
376.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Napa,2013-10-04 16:55:00+00:00,,38.628,-122.289,True,Putah Fire,4.0,2013-10-03 20:33:00+00:00,,0.8486111111111111,sonomalakenapa
354.0,CAL FIRE San Benito-Monterey ,2013,San Benito,2013-05-03 18:45:00+00:00,,37.160346,-120.937494,False,Tres Pinos Fire,,2013-05-03 11:42:00+00:00,,0.29375,sanbenitomonterey
305.0,CAL FIRE Butte Unit,2013,Butte,2013-10-05 22:00:00+00:00,,39.439,-121.497,True,Summit Fire,259.0,2013-10-04 17:37:00+00:00,3.0,1.1826388888888888,butte
303.0,CAL FIRE Tuolumne-Calaveras Unit ,2013,San Joaquin,2013-05-30 13:25:00+00:00,,38.04993,-120.90325,False,Shelton Fire,,2013-05-30 11:20:00+00:00,,0.08680555555555555,tuolumneaveras
298.0,CAL FIRE Butte Unit,2013,Butte,2013-06-03 20:00:00+00:00,,39.434183,-121.576804,True,Lone Fire,,2013-06-03 13:49:00+00:00,4.0,0.25763888888888886,butte
274.0,CAL FIRE Santa Clara Unit,2013,Contra Costa,2013-07-01 18:30:00+00:00,,39.90465,-121.74367,False,Concord Fire,,2013-07-01 15:41:00+00:00,,0.11736111111111111,santaclara
274.0,CAL FIRE Madera-Mariposa-Merced Unit,2013,Madera,2013-05-01 07:00:00+00:00,,37.116295,-119.635004,False,Gold Fire,,2013-04-30 12:59:00+00:00,,0.7506944444444444,maderamariposamerced
268.0,Angeles National Forest/Los Angeles County Fire,2013,Los Angeles,2013-09-28 08:00:00+00:00,,34.149,-117.908,False,Madre Fire,,2013-09-23 18:00:00+00:00,,4.583333333333333,angelesla
263.0,CAL FIRE San Diego Unit / Cleveland National Forest,2013,San Diego,2013-09-12 18:15:00+00:00,,32.710918,-116.746023,True,Lyon Fire,294.0,2013-09-09 13:09:00+00:00,4.0,3.2125,sandiegoclevel
243.0,Angeles National Forest,2013,San Bernardino,2013-08-13 23:45:00+00:00,,34.35,-117.62,False,Sharp Fire,,2013-08-08 12:15:00+00:00,,5.479166666666667,angeles
240.0,CAL FIRE Santa Clara Unit,2013,Alameda,2013-06-08 13:25:00+00:00,,37.775057,-121.737213,False,Vasco Fire,,2013-06-08 10:16:00+00:00,,0.13125,santaclara
237.0,CAL FIRE/Placer County Fire,2013,Placer,2013-06-13 14:15:00+00:00,,38.729297,-121.380862,False,PFE Fire,,2013-06-13 11:28:00+00:00,,0.11597222222222223,placer
217.0,CAL FIRE Tehama-Glenn Unit,2013,Glenn,2013-05-05 18:00:00+00:00,,39.514139,-122.560862,True,306 Fire,221.0,2013-05-01 19:00:00+00:00,5.0,3.9583333333333335,tehamaglenn
200.0,San Bernardino National Forest/CAL FIRE San Bernardino Unit,2013,San Bernardino,2013-09-30 08:30:00+00:00,,34.2,-117.417,False,Sierra Fire,,2013-09-24 15:51:00+00:00,,5.69375,sanbernardinosanbernardino
200.0,CAL FIRE Tehama-Glenn Unit,2013,Tehama,2013-07-04 10:30:00+00:00,,40.012398,-122.079871,False,Vina Fire,,2013-07-04 07:30:00+00:00,,0.125,tehamaglenn
196.0,CAL FIRE Shasta Unit ,2013,Shasta,2013-08-23 19:15:00+00:00,,40.5445,-121.3754,True,Burney Lightning Series (Warner Fire),347.0,2013-08-19 17:48:00+00:00,24.0,4.060416666666667,shasta
195.0,CAL FIRE Tehama-Glenn Unit,2013,Tehama,2013-07-19 15:00:00+00:00,,39.961309,-122.330879,False,Paskenta Fire,,2013-07-19 13:32:00+00:00,,0.06111111111111111,tehamaglenn
190.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Napa,2013-11-23 18:30:00+00:00,,38.382,-122.311,True,Silverado Fire,150.0,2013-11-21 21:39:00+00:00,3.0,1.86875,sonomalakenapa
170.0,Santa Barbara County Fire,2013,Santa Barbara,2013-05-29 10:30:00+00:00,,34.611824,-120.074655,False,Olive Fire,,2013-05-28 15:24:00+00:00,,0.7958333333333333,santabarbara
163.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Yolo,2013-11-04 15:35:00+00:00,,38.67479,-122.08725,False,Capay Fire,,2013-11-04 11:41:00+00:00,,0.1625,sonomalakenapa
163.0,CAL FIRE / Sacramento Metropolitan Fire,2013,El Dorado,2013-07-19 17:15:00+00:00,,38.63987,-121.08438,False,50 Fire,,2013-07-19 14:12:00+00:00,,0.12708333333333333,sacramentometropolitan
163.0,CAL FIRE / Sacramento Metropolitan Fire,2013,Sacramento,2013-07-19 17:15:00+00:00,,38.63987,-121.08438,False,50 Fire,,2013-07-19 14:12:00+00:00,,0.12708333333333333,sacramentometropolitan
159.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Sonoma,2013-10-05 07:45:00+00:00,,38.34599,-122.6503,False,Crane Fire,,2013-10-04 12:25:00+00:00,,0.8055555555555556,sonomalakenapa
158.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Sonoma,2013-07-26 17:45:00+00:00,,38.17693,-122.51253,False,Lakeville Fire,,2013-07-26 13:45:00+00:00,,0.16666666666666666,sonomalakenapa
150.0,CAL FIRE / Riverside County Fire,2013,Riverside,2013-07-17 07:45:00+00:00,,33.990128,-117.164997,False,Redlands Fire,,2013-07-16 17:48:00+00:00,,0.58125,riverside
150.0,CAL FIRE Santa Clara Unit,2013,Stanislaus,2013-07-13 21:45:00+00:00,,37.436,-121.1955,False,Diablo Fire,,2013-07-12 15:35:00+00:00,,1.2569444444444444,santaclara
150.0,CAL FIRE/Fresno County Fire,2013,Fresno,2013-06-25 17:15:00+00:00,,36.7218,-119.2248,False,George Fire,,2013-06-25 13:36:00+00:00,,0.15208333333333332,fresno
149.0,Los Angeles County Fire Department,2013,Los Angeles,2013-05-29 15:30:00+00:00,,34.419284,-118.58688,False,Magic Fire,,2013-05-28 11:30:00+00:00,,1.1666666666666667,la
134.0,Sequoia National Forest,2013,Tulare,2013-09-24 20:15:00+00:00,,36.258,-118.459,False,Angora Fire,,2013-09-08 11:53:00+00:00,,16.34861111111111,sequoia
